BGC,KG,Tave,PPT
ESSFdcw,Dfc,"[-7.25, -6.99, -4.67, -0.82, 3.8, 7.06, 11.47, 11.35, 7.54, 1.02, -4.98, -7.8]","[116.16, 79.52, 105.75, 75.63, 85.54, 94.1, 60.7, 46.55, 59.7, 99.03, 134.73, 118.57]"
ESSFdh 1,Dfb,"[-4.56, -3.03, -0.4, 3.55, 7.43, 10.69, 14.49, 14.33, 10.72, 4.59, -1.71, -5.46]","[173.72, 100.18, 108.15, 93.12, 66.95, 58.02, 39.65, 32.47, 47.15, 128.13, 191.1, 158.41]"
ESSFdh 2,Dfb,"[-4.76, -3.29, -0.7, 3.25, 7.56, 11.1, 14.13, 13.99, 10.49, 4.22, -1.91, -5.36]","[126.33, 72.37, 70.23, 49.24, 46.16, 39.73, 34.09, 39.74, 50.26, 102.25, 131.61, 107.56]"
ESSFdk 1,Dfc,"[-8.21, -6.84, -3.79, 0.25, 4.89, 8.47, 12.91, 12.63, 8.36, 1.53, -5.07, -8.94]","[93.6, 62.9, 84.48, 73.45, 88.32, 121.33, 59.67, 43.65, 55.14, 74.07, 104.95, 89.69]"
ESSFdk 2,Dfc,"[-9.38, -8.04, -4.73, -0.27, 4.43, 8.07, 11.94, 11.58, 7.27, 0.54, -6.17, -10.12]","[73.31, 50.25, 65.61, 66.97, 76.94, 114.35, 76.02, 65.62, 61.77, 65.81, 86.81, 76.41]"
ESSFdkp,ET,"[-10.15, -9.68, -7.27, -3.24, 1.6, 5.18, 9.22, 9.18, 4.92, -1.65, -7.7, -10.9]","[95.24, 63.65, 89.53, 84.81, 94.84, 139.56, 90.24, 77.81, 76.13, 86.5, 112.15, 96.92]"
ESSFdkw,Dfc,"[-9.48, -8.71, -6.04, -2.0, 2.79, 6.37, 10.55, 10.41, 6.22, -0.48, -6.78, -10.23]","[101.49, 67.9, 91.05, 82.18, 93.13, 134.28, 78.72, 64.87, 68.83, 87.21, 114.88, 97.47]"
ESSFdv 1,Dfc,"[-5.82, -5.13, -3.42, 0.42, 4.74, 8.08, 11.23, 11.3, 8.07, 1.86, -4.11, -6.57]","[132.08, 76.01, 73.22, 52.77, 51.71, 43.2, 37.99, 42.7, 48.78, 106.66, 138.43, 113.74]"
ESSFdv 2,Dfc,"[-6.37, -5.6, -4.02, -0.26, 4.27, 7.7, 10.82, 10.72, 7.67, 1.64, -4.43, -7.12]","[151.2, 88.53, 91.3, 72.78, 57.84, 52.0, 46.77, 46.73, 56.05, 129.47, 167.42, 127.04]"
ESSFdvp,ET,"[-6.98, -6.91, -5.96, -2.46, 1.91, 5.19, 8.39, 8.58, 5.7, -0.25, -5.89, -7.81]","[168.38, 97.1, 98.62, 79.46, 62.21, 54.74, 45.58, 51.29, 58.58, 144.69, 185.02, 143.16]"
ESSFdvw,ET,"[-6.42, -6.09, -4.93, -1.22, 3.17, 6.48, 9.66, 9.75, 6.76, 0.69, -5.13, -7.27]","[157.01, 90.82, 92.4, 72.45, 59.32, 51.52, 44.03, 49.1, 56.76, 133.36, 171.33, 133.55]"
ESSFmc,Dfc,"[-9.76, -7.57, -4.88, 0.42, 5.21, 9.1, 11.22, 10.88, 6.81, 0.84, -5.79, -8.97]","[92.37, 54.79, 54.16, 45.82, 45.58, 63.02, 61.16, 63.7, 75.64, 105.73, 102.43, 95.55]"
ESSFmcp,ET,"[-10.32, -8.64, -7.01, -1.76, 3.26, 7.18, 9.1, 8.83, 4.74, -1.17, -7.31, -9.62]","[134.16, 82.81, 75.36, 57.5, 52.76, 67.58, 76.09, 82.19, 101.26, 142.07, 138.65, 131.85]"
ESSFmh,Dfb,"[-5.76, -4.86, -1.83, 2.38, 6.96, 10.19, 14.71, 14.37, 10.23, 3.36, -2.86, -6.42]","[99.53, 65.42, 91.42, 63.61, 72.76, 83.09, 54.75, 39.99, 49.07, 86.85, 117.33, 105.84]"
ESSFmk,Dfc,"[-7.48, -5.94, -3.11, 1.41, 5.44, 9.13, 11.72, 11.89, 8.21, 2.38, -3.58, -7.0]","[146.31, 97.78, 93.69, 74.41, 57.37, 55.33, 47.92, 66.02, 98.98, 174.28, 186.68, 153.41]"
ESSFmkp,Dfc,"[-7.58, -6.23, -4.36, -0.25, 3.82, 7.24, 9.87, 10.2, 6.83, 1.04, -4.53, -7.27]","[200.45, 134.76, 133.84, 108.41, 74.49, 66.91, 54.19, 85.7, 129.07, 247.66, 258.85, 222.07]"
ESSFmm 1,Dfc,"[-8.64, -6.51, -4.04, 0.59, 5.2, 9.16, 11.84, 11.75, 7.43, 0.86, -5.06, -8.76]","[126.83, 79.49, 106.52, 76.4, 76.21, 91.79, 102.83, 89.31, 94.64, 123.85, 149.25, 119.49]"
ESSFmm 2,Dfc,"[-9.22, -7.67, -4.18, 0.47, 5.35, 8.72, 12.15, 11.7, 7.66, 0.77, -6.03, -10.04]","[122.34, 77.62, 93.33, 75.37, 59.06, 81.05, 71.36, 65.47, 65.48, 94.13, 139.34, 112.39]"
ESSFmmp,ET,"[-9.43, -7.9, -5.98, -1.65, 3.1, 6.87, 9.71, 9.81, 5.62, -0.98, -6.68, -9.68]","[146.03, 94.66, 122.75, 88.52, 78.71, 96.76, 105.84, 92.55, 98.11, 140.68, 176.87, 139.38]"
ESSFmmw,Dfc,"[-9.28, -8.79, -5.93, -1.43, 3.62, 6.77, 10.47, 10.12, 6.13, -0.66, -7.07, -10.17]","[140.3, 90.2, 115.77, 93.21, 71.26, 101.78, 81.03, 75.9, 72.53, 110.66, 161.31, 130.8]"
ESSFmv 1,Dfc,"[-8.59, -6.8, -4.03, 0.8, 5.49, 9.31, 11.84, 11.54, 7.8, 1.73, -4.69, -8.18]","[64.2, 30.52, 42.22, 32.41, 42.84, 73.14, 57.05, 52.05, 50.17, 68.46, 76.34, 69.3]"
ESSFmv 2,Dfc,"[-9.58, -8.42, -5.41, 0.34, 5.4, 9.67, 12.1, 11.58, 7.31, 1.41, -5.45, -9.3]","[113.37, 68.15, 98.34, 68.11, 63.36, 100.38, 97.05, 77.28, 74.38, 112.54, 138.81, 116.11]"
ESSFmv 3,Dfc,"[-11.24, -8.62, -5.87, -0.03, 5.14, 8.69, 10.94, 10.41, 6.3, 0.49, -6.55, -10.4]","[77.42, 46.06, 47.25, 46.22, 55.6, 86.34, 61.81, 63.93, 54.92, 83.29, 93.34, 85.58]"
ESSFmv 4,Dfc,"[-11.88, -9.25, -7.0, -0.77, 4.64, 9.14, 11.28, 10.55, 6.13, -0.28, -7.6, -10.87]","[52.87, 36.31, 39.59, 37.9, 49.58, 84.48, 81.79, 72.82, 58.63, 60.37, 66.3, 60.67]"
ESSFmvp,ET,"[-11.07, -9.25, -7.61, -2.28, 2.97, 6.92, 9.15, 8.84, 4.74, -1.36, -7.53, -10.61]","[83.66, 51.85, 57.99, 53.15, 57.84, 94.29, 80.51, 77.61, 64.84, 92.89, 103.47, 91.89]"
ESSFmw,Dfc,"[-5.59, -4.49, -2.53, 1.28, 5.5, 8.81, 11.92, 11.94, 8.62, 2.72, -3.27, -6.12]","[191.99, 110.15, 122.8, 92.5, 61.06, 56.35, 45.46, 53.94, 72.15, 177.36, 226.26, 180.41]"
ESSFmw 1,Dfc,"[-4.77, -3.96, -1.87, 1.89, 5.8, 8.96, 13.0, 12.94, 9.58, 3.5, -2.7, -5.53]","[200.78, 113.7, 126.48, 102.21, 76.86, 66.91, 46.12, 37.77, 54.64, 148.61, 225.42, 179.4]"
ESSFmw 2,Dfc,"[-5.16, -4.23, -2.3, 1.41, 5.61, 9.01, 12.09, 12.19, 8.97, 2.74, -3.26, -5.86]","[148.75, 87.7, 86.24, 64.88, 53.96, 47.5, 38.92, 44.95, 57.65, 122.26, 154.05, 127.43]"
ESSFmwp,ET,"[-6.11, -5.8, -4.62, -1.08, 3.12, 6.33, 9.52, 9.77, 6.74, 0.73, -5.02, -7.0]","[187.62, 110.41, 117.8, 88.16, 63.47, 53.92, 47.41, 54.55, 66.21, 169.25, 207.22, 170.85]"
ESSFmww,Dfc,"[-5.35, -4.88, -3.35, 0.2, 4.3, 7.48, 11.05, 11.22, 8.01, 1.92, -4.01, -6.1]","[190.83, 110.49, 119.26, 93.87, 70.64, 61.68, 47.06, 45.68, 61.78, 149.32, 208.23, 167.61]"
ESSFun,Dfc,"[-10.04, -7.41, -4.75, 0.72, 5.53, 9.49, 11.21, 10.59, 6.42, 0.66, -5.94, -9.12]","[186.43, 124.24, 104.98, 64.7, 58.45, 56.31, 77.95, 106.18, 163.56, 214.01, 178.81, 184.15]"
ESSFunp,ET,"[-10.0, -8.11, -6.23, -0.82, 4.04, 7.93, 9.71, 9.32, 5.09, -0.7, -7.01, -9.46]","[219.79, 141.57, 117.69, 77.39, 64.69, 58.0, 85.29, 115.69, 184.6, 242.12, 211.56, 213.72]"
ESSFvc,Dfc,"[-7.44, -6.14, -3.23, 1.08, 5.89, 9.22, 13.05, 12.71, 8.47, 1.08, -4.9, -8.2]","[180.49, 120.57, 152.79, 100.78, 85.3, 107.13, 100.87, 82.41, 95.84, 168.06, 219.33, 178.37]"
ESSFvcp,Dfc,"[-8.79, -8.17, -5.86, -1.7, 2.99, 6.12, 10.02, 9.81, 5.74, -1.32, -7.09, -9.76]","[205.9, 139.02, 177.73, 120.27, 97.93, 123.1, 113.15, 94.2, 113.42, 197.64, 259.87, 203.77]"
ESSFvcw,Dfc,"[-7.92, -7.03, -4.53, -0.28, 4.42, 7.68, 11.6, 11.32, 7.18, -0.11, -6.0, -8.89]","[194.6, 130.69, 168.71, 113.28, 90.49, 114.51, 104.42, 87.54, 103.65, 183.07, 242.02, 192.07]"
ESSFvk,Dfc,"[-7.09, -5.46, -2.16, 2.25, 7.13, 10.6, 14.26, 13.83, 9.44, 2.08, -3.95, -7.63]","[168.92, 111.35, 140.58, 90.97, 79.11, 96.35, 95.63, 76.42, 89.79, 159.8, 205.98, 168.71]"
ESSFvm,Dfc,"[-8.17, -6.59, -3.39, 1.1, 6.1, 9.11, 12.81, 12.4, 8.23, 1.09, -5.13, -8.85]","[139.0, 93.76, 110.9, 78.86, 64.65, 85.13, 79.89, 69.09, 73.99, 121.86, 163.01, 130.73]"
ESSFwc 2,Dfc,"[-7.51, -6.1, -3.48, 0.86, 5.6, 9.33, 12.6, 12.43, 8.19, 1.36, -4.56, -7.98]","[140.95, 98.4, 137.62, 101.96, 91.23, 102.07, 103.57, 75.35, 82.75, 163.37, 178.97, 144.56]"
ESSFwc 3,Dfc,"[-9.14, -7.78, -5.43, -0.21, 4.7, 8.78, 11.26, 10.95, 6.72, 0.46, -5.64, -9.1]","[146.62, 88.78, 119.45, 92.22, 82.54, 113.71, 103.91, 83.76, 88.69, 145.23, 174.19, 151.0]"
ESSFwc 4,Dfc,"[-6.75, -6.12, -3.22, 0.92, 5.4, 8.71, 12.9, 12.67, 8.61, 1.37, -4.87, -7.95]","[151.42, 94.94, 134.59, 94.68, 87.48, 108.57, 77.13, 63.46, 73.51, 133.22, 184.35, 153.86]"
ESSFwcp,Dfc,"[-8.82, -8.01, -5.96, -1.63, 3.08, 6.82, 10.01, 9.85, 5.74, -0.81, -6.51, -9.4]","[166.62, 105.29, 146.54, 112.8, 94.64, 119.55, 105.18, 86.35, 92.4, 166.52, 203.6, 167.23]"
ESSFwcw,Dfc,"[-7.72, -6.98, -4.68, -0.57, 3.98, 7.49, 11.18, 11.07, 6.99, 0.1, -5.77, -8.64]","[153.15, 102.23, 148.34, 109.37, 97.14, 114.46, 96.63, 75.29, 83.61, 160.36, 192.48, 155.47]"
ESSFwh 1,Dfc,"[-6.33, -5.43, -2.3, 1.92, 6.53, 9.87, 13.87, 13.69, 9.59, 2.28, -3.99, -7.34]","[139.7, 88.01, 121.6, 86.31, 85.42, 103.14, 75.89, 61.27, 72.61, 122.53, 169.19, 143.55]"
ESSFwh 2,Dfc,"[-7.07, -5.65, -2.36, 1.47, 6.12, 9.83, 14.05, 13.84, 9.53, 2.34, -4.14, -8.0]","[116.07, 70.79, 101.03, 75.49, 71.13, 95.97, 56.55, 53.47, 57.5, 95.56, 133.78, 119.41]"
ESSFwh 3,Dfc,"[-6.01, -5.09, -2.26, 1.93, 6.42, 9.72, 14.33, 14.22, 10.11, 3.03, -3.33, -6.71]","[179.28, 107.12, 164.17, 105.35, 113.4, 125.45, 67.91, 49.97, 59.63, 141.27, 201.21, 183.33]"
ESSFwk 1,Dfc,"[-7.25, -5.49, -3.03, 1.58, 6.26, 10.13, 12.71, 12.47, 8.42, 2.07, -3.66, -7.17]","[106.82, 60.97, 83.13, 67.81, 77.89, 105.12, 92.65, 72.88, 72.82, 104.99, 117.56, 107.01]"
ESSFwk 2,Dfc,"[-9.72, -8.12, -5.13, 0.63, 5.58, 9.91, 12.32, 11.71, 7.36, 1.38, -5.33, -9.22]","[137.17, 85.84, 110.99, 90.09, 70.04, 103.25, 95.92, 82.45, 87.9, 139.81, 166.48, 139.52]"
ESSFwm 1,Dfc,"[-8.23, -6.96, -3.9, 0.29, 4.87, 8.56, 12.86, 12.63, 8.28, 1.56, -5.03, -8.82]","[81.8, 58.35, 74.1, 67.09, 87.47, 122.96, 72.21, 48.51, 61.32, 78.16, 107.54, 87.17]"
ESSFwm 2,Dfc,"[-7.49, -6.59, -3.72, 0.07, 4.64, 8.31, 12.62, 12.41, 8.18, 1.11, -5.19, -8.6]","[121.5, 75.33, 109.8, 82.22, 77.19, 102.83, 59.93, 55.19, 59.71, 103.19, 143.94, 126.66]"
ESSFwm 3,Dfc,"[-7.0, -6.33, -3.77, 0.34, 4.86, 8.06, 12.8, 12.63, 8.6, 1.69, -4.77, -7.75]","[194.54, 117.1, 179.99, 118.46, 122.01, 137.34, 74.27, 55.34, 66.45, 154.49, 217.08, 200.66]"
ESSFwm 4,Dfc,"[-7.11, -6.18, -3.3, 0.75, 5.24, 8.74, 13.43, 13.28, 8.97, 1.87, -4.41, -8.05]","[110.51, 68.9, 95.94, 71.9, 88.83, 108.56, 52.85, 39.37, 46.43, 82.02, 124.9, 116.64]"
ESSFwmp,ET,"[-8.55, -8.52, -6.22, -2.55, 1.89, 5.47, 9.97, 9.78, 5.62, -1.03, -6.93, -9.66]","[131.72, 83.21, 124.32, 95.48, 85.2, 113.72, 66.96, 59.11, 63.16, 116.19, 160.13, 138.61]"
ESSFwmw,Dfc,"[-8.06, -7.56, -5.15, -1.2, 3.35, 6.92, 11.52, 11.21, 7.02, 0.14, -6.04, -9.09]","[126.38, 79.03, 116.53, 87.13, 88.53, 114.5, 64.55, 52.83, 59.53, 107.73, 151.91, 132.98]"
ESSFwv,Dfc,"[-8.84, -6.55, -4.56, 0.64, 5.35, 9.22, 11.1, 10.79, 6.65, 0.83, -5.11, -8.13]","[91.85, 52.84, 52.47, 57.05, 61.67, 74.21, 80.34, 78.24, 87.51, 110.19, 101.04, 97.88]"
ESSFwvp,ET,"[-9.2, -7.41, -6.18, -1.09, 3.73, 7.59, 9.43, 9.31, 5.29, -0.56, -6.21, -8.57]","[105.66, 62.79, 63.41, 66.37, 66.06, 76.25, 89.28, 90.61, 100.54, 124.22, 116.74, 112.63]"
ESSFxc 1,Dsc,"[-5.75, -5.28, -3.33, 0.04, 4.44, 7.63, 11.85, 11.85, 8.5, 2.12, -3.89, -6.57]","[72.78, 48.42, 71.02, 59.24, 57.74, 73.62, 43.2, 34.3, 27.78, 59.12, 99.36, 75.23]"
ESSFxc 2,Dfc,"[-6.93, -5.96, -3.48, 0.45, 5.07, 8.36, 11.95, 11.88, 8.16, 1.85, -4.54, -7.6]","[74.37, 46.87, 66.28, 63.29, 72.99, 85.12, 67.48, 47.21, 54.13, 70.39, 91.72, 79.19]"
