BGC,KG,Tave,PPT
ESSFvcp,ET,"[-10.67, -8.42, -5.99, -1.75, 2.95, 6.38, 9.58, 9.56, 5.12, -1.0, -7.55, -10.55]","[256.62, 182.03, 138.52, 112.88, 85.13, 98.2, 109.94, 105.45, 115.26, 187.93, 242.55, 283.53]"
ESSFvcw,Dfc,"[-9.79, -7.25, -4.66, -0.33, 4.38, 7.95, 11.14, 11.07, 6.56, 0.19, -6.45, -9.67]","[241.68, 171.23, 131.52, 106.19, 78.72, 91.18, 101.2, 98.52, 105.65, 174.48, 226.18, 268.1]"
ESSFvk,Dfc,"[-8.95, -5.73, -2.29, 2.19, 7.08, 10.84, 13.82, 13.58, 8.83, 2.41, -4.41, -8.41]","[210.28, 145.78, 109.54, 85.4, 68.7, 76.81, 92.81, 85.54, 91.35, 151.73, 191.71, 233.38]"
ESSFvm,Dfc,"[-10.12, -6.87, -3.5, 1.07, 6.11, 9.39, 12.45, 12.23, 7.59, 1.54, -5.59, -9.66]","[182.02, 126.39, 88.6, 74.12, 56.86, 69.69, 79.26, 72.85, 72.7, 122.42, 158.84, 190.21]"
ESSFwc 2,Dfc,"[-9.28, -6.6, -3.63, 0.74, 5.47, 9.46, 12.1, 12.12, 7.65, 1.71, -5.06, -8.83]","[168.07, 125.28, 105.71, 95.56, 78.64, 81.49, 100.04, 87.53, 85.97, 145.94, 159.11, 181.43]"
ESSFwc 3,Dfc,"[-11.02, -8.52, -5.81, -0.55, 4.42, 8.44, 10.81, 10.56, 6.08, 0.83, -6.38, -10.53]","[150.27, 109.44, 102.48, 79.52, 78.17, 97.1, 102.02, 91.3, 94.79, 141.15, 152.3, 160.66]"
ESSFwc 4,Dfc,"[-8.46, -6.11, -3.42, 0.88, 5.3, 9.09, 12.35, 12.35, 7.9, 1.54, -5.2, -8.53]","[175.98, 122.85, 107.13, 87.86, 76.86, 86.57, 73.44, 80.03, 77.41, 128.42, 175.6, 206.17]"
ESSFwcp,ET,"[-10.62, -8.45, -6.2, -1.8, 2.92, 6.83, 9.55, 9.52, 5.12, -0.46, -7.1, -10.41]","[188.52, 134.79, 118.86, 101.56, 85.26, 99.12, 102.27, 97.81, 97.18, 160.34, 186.04, 204.89]"
ESSFwcw,Dfc,"[-9.47, -7.24, -4.85, -0.66, 3.85, 7.71, 10.67, 10.75, 6.36, 0.38, -6.21, -9.38]","[178.67, 131.11, 116.39, 101.22, 84.87, 91.83, 92.93, 90.55, 87.61, 148.93, 177.02, 199.46]"
ESSFwh 1,Dfc,"[-8.07, -5.46, -2.51, 1.86, 6.42, 10.23, 13.32, 13.38, 8.9, 2.45, -4.32, -7.95]","[162.83, 113.53, 96.12, 80.16, 74.81, 81.75, 72.08, 76.82, 76.74, 117.11, 159.49, 192.34]"
ESSFwh 2,Dfc,"[-8.62, -5.42, -2.56, 1.49, 6.07, 10.35, 13.49, 13.52, 8.76, 2.58, -4.37, -8.35]","[133.63, 87.05, 84.43, 71.37, 64.32, 78.18, 54.59, 69.17, 64.06, 92.42, 138.15, 152.36]"
ESSFwh 3,Dfc,"[-7.65, -5.06, -2.63, 1.84, 6.25, 10.16, 13.64, 13.82, 9.24, 3.05, -3.59, -7.12]","[185.83, 128.53, 140.12, 98.07, 103.49, 101.29, 66.0, 75.4, 69.15, 129.76, 203.36, 211.16]"
ESSFwk 1,Dfc,"[-9.22, -5.94, -3.26, 1.33, 5.97, 9.88, 12.24, 12.1, 7.81, 2.47, -4.31, -8.42]","[110.59, 77.33, 68.02, 57.2, 70.75, 88.5, 90.0, 85.02, 77.62, 97.64, 102.45, 118.75]"
ESSFwk 2,Dfc,"[-11.58, -9.01, -5.63, 0.26, 5.34, 9.49, 11.87, 11.31, 6.67, 1.74, -6.16, -10.84]","[137.6, 104.72, 98.35, 77.12, 68.76, 90.14, 94.4, 85.73, 94.63, 139.74, 145.38, 144.29]"
